Case;Atividade;Inicio;Fim;Tempo(s)
1;Maquina trabalhando;19-01-2012 07:54:31;19-01-2012 07:55:15;44
1;Retirada do Produto;19-01-2012 07:55:15;19-01-2012 07:55:15;0
1;Alimentacao de Maquina;19-01-2012 07:55:15;19-01-2012 07:55:25;10
1;Parada de curta duracao;19-01-2012 07:55:25;19-01-2012 07:55:29;4
2;Maquina trabalhando;19-01-2012 07:55:29;19-01-2012 07:56:12;43
2;Alimentacao de Maquina;19-01-2012 07:56:12;19-01-2012 07:56:22;10
2;Retirada do Produto;19-01-2012 07:56:13;19-01-2012 07:56:13;0
2;Parada de curta duracao;19-01-2012 07:56:22;19-01-2012 07:56:28;6
3;Maquina trabalhando;19-01-2012 07:56:28;19-01-2012 07:57:12;44
3;Retirada do Produto;19-01-2012 07:57:12;19-01-2012 07:57:12;0
3;Alimentacao de Maquina;19-01-2012 07:57:12;19-01-2012 07:57:22;10
3;Parada de curta duracao;19-01-2012 07:57:22;19-01-2012 07:57:29;7
4;Maquina trabalhando;19-01-2012 07:57:29;19-01-2012 07:58:13;44
4;Retirada do Produto;19-01-2012 07:58:13;19-01-2012 07:58:13;0
4;Alimentacao de Maquina;19-01-2012 07:58:13;19-01-2012 07:58:23;10
4;Parada de curta duracao;19-01-2012 07:58:23;19-01-2012 07:58:29;6
5;Maquina trabalhando;19-01-2012 07:58:29;19-01-2012 07:59:13;44
5;Retirada do Produto;19-01-2012 07:59:13;19-01-2012 07:59:13;0
5;Alimentacao de Maquina;19-01-2012 07:59:13;19-01-2012 07:59:23;10
5;Parada de curta duracao;19-01-2012 07:59:23;19-01-2012 07:59:27;4
6;Maquina trabalhando;19-01-2012 07:59:28;19-01-2012 08:00:11;43
6;Retirada do Produto;19-01-2012 08:00:11;19-01-2012 08:00:11;0
6;Alimentacao de Maquina;19-01-2012 08:00:11;19-01-2012 08:00:21;10
6;Parada de curta duracao;19-01-2012 08:00:21;19-01-2012 08:00:51;30
7;Maquina trabalhando;19-01-2012 08:00:52;19-01-2012 08:01:35;43
7;Retirada do Produto;19-01-2012 08:01:35;19-01-2012 08:01:35;0
7;Alimentacao de Maquina;19-01-2012 08:01:35;19-01-2012 08:01:45;10
7;Parada de curta duracao;19-01-2012 08:01:45;19-01-2012 08:01:50;5
8;Maquina trabalhando;19-01-2012 08:01:50;19-01-2012 08:02:33;43
8;Alimentacao de Maquina;19-01-2012 08:02:33;19-01-2012 08:02:43;10
8;Retirada do Produto;19-01-2012 08:02:34;19-01-2012 08:02:34;0
8;Parada de curta duracao;19-01-2012 08:02:43;19-01-2012 08:02:50;7
9;Maquina trabalhando;19-01-2012 08:02:50;19-01-2012 08:03:35;45
9;Retirada do Produto;19-01-2012 08:03:35;19-01-2012 08:03:35;0
9;Alimentacao de Maquina;19-01-2012 08:03:35;19-01-2012 08:03:45;10
9;Parada de curta duracao;19-01-2012 08:03:45;19-01-2012 08:03:50;5
10;Maquina trabalhando;19-01-2012 08:03:51;19-01-2012 08:04:35;44
10;Retirada do Produto;19-01-2012 08:04:35;19-01-2012 08:04:35;0
